LOYIESMMXXX	LLOYDS BANK INTERNATIONAL, S.A.U.	0236
MADRESMMXXX	BANCO DE MADRID, S.A.	0059
MEFFESBBXXX	MEFF SOCIEDAD RECTORA DE PRODUCTOS DERIVADOS S.A.U.	9094
MIDLESMXXXX	HSBC BANK PLC, SUCURSAL EN ESPAÑA.	0162
MISVESMMXXX	MAPFRE INVERSION, SOCIEDAD DE VALORES, S.A.	3563
MLCEESMMXXX	MERRILL LYNCH CAPITAL MARKETS ESPAÑA, S.A., SOCIEDAD DE VALORES.	3661
NACNESMMXXX	BANCO DE LA NACION ARGENTINA, SUCURSAL EN ESPAÑA.	0169
NATXESMMXXX	NATIXIS, S.A., SUCURSAL EN ESPAÑA.	1479
PARBESMHXXX	BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA.	0144
POHIESMM	TARGOBANK, S.A.	0216
POPIESMMXXX	POPULAR BANCA PRIVADA, S.A.	0233
POPLESMMXXX	BANCO POPULAR-E, S.A.	0229
POPUESMMXXX	BANCO POPULAR ESPAÑOL, S.A.	0075
PRABESMMXXX	COOP. CENTR. RAIFFEISEN-BOERENL. (RABOBANK NED.), SUCURSAL EN ESPAÑA.	1459
PROAESMMXXX	EBN BANCO DE NEGOCIOS, S.A.	0211
RENBESMMXXX	RENTA 4 BANCO, S.A.	0083
RENTESMMXXX	RENTA 4 SOCIEDAD DE VALORES, S.A.	3501
SOGEESMMAGM	SOCIETE GENERALE, SUCURSAL EN ESPAÑA.	0108
UBIBESMMXXX	UBI BANCA INTERNATIONAL, S.A., SUCURSAL EN ESPAÑA.	1524
UBSWESMMNPB	UBS BANK, S.A.	0226
UCJAES2MXXX	UNICAJA BANCO, S.A.	2103
VALEESVVXXX	BANCO DE VALENCIA, S.A.	0093
WELAESMMFUN	PORTIGON AG, SUCURSAL EN ESPAÑA	0196
XBCNESBBXXX	SDAD. RECTORA BOLSA VALORES DE BARCELONA, S.A., SRBV.	9091
XRBVES2BXXX	SDAD. RECTORA BOLSA DE VALORES DE BILBAO, S.A., SRBV.	9092
XRVVESVVXXX	SDAD. RECTORA BOLSA VALORES DE VALENCIA, S.A., SRBV.	9093
